zipcode,risk,count,area_mile2
11432,medium,2535,2.02342632085324
11433,high,4774,1.5308810367664807
11433,low,1321,1.5308810367664807
11433,medium,1738,1.5308810367664807
11434,high,8056,3.2453649840247647
11434,low,1627,3.2453649840247647
11434,medium,4808,3.2453649840247647
11435,high,6224,1.5106495438107739
11435,low,615,1.5106495438107739
11435,medium,1695,1.5106495438107739
11436,high,4111,0.7975444402761395
11436,low,415,0.7975444402761395
11436,medium,1655,0.7975444402761395
11691,high,3348,2.6834001120833544
11691,low,1288,2.6834001120833544
11691,medium,2704,2.6834001120833544
11692,high,768,1.015846304650452
11692,low,1145,1.015846304650452
11692,medium,697,1.015846304650452
11693,high,1533,0.9886935290543852
11693,low,315,0.9886935290543852
11693,medium,237,0.9886935290543852
11694,high,3718,1.7473003040925792
11694,low,378,1.7473003040925792
11694,medium,1670,1.7473003040925792
11695,high,8,
11695,low,2,
11697,high,124,2.047457936977492
11697,low,332,2.047457936977492
11697,medium,2469,2.047457936977492
12345,high,5,
